case_id	n_samples	rep	merged_dmpp_bytes	merged_idx_bytes	merged_total_bytes	single_dmpp_bytes	single_idx_bytes	single_total_bytes	ratio_merged_over_single	merged_total_MB	single_total_MB
size128.rep1	128	1	8788205901	17175337	8805381238	9314277193	181247504	9495524697	0.927319	8397.466	9055.638
size128.rep2	128	2	8924244507	17174896	8941419403	9475241075	182033392	9657274467	0.925874	8527.202	9209.895
size128.rep3	128	3	8282889391	17169834	8300059225	8782407372	170097472	8952504844	0.927121	7915.553	8537.774
size16.rep1	16	1	1043553967	1109050	1044663017	1114968081	21505888	1136473969	0.919214	996.268	1083.826
size16.rep2	16	2	931952965	1109270	933062235	990394529	18695912	1009090441	0.924657	889.837	962.344
size16.rep3	16	3	1135126062	1109490	1136235552	1218169207	23236744	1241405951	0.915281	1083.599	1183.897
size256.rep1	256	1	17496030352	34349044	17530379396	18545649784	358841088	18904490872	0.927313	16718.273	18028.727
size256.rep2	256	2	17539729336	34349044	17574078380	18582179732	358907836	18941087568	0.927828	16759.947	18063.629
size256.rep3	256	3	17243030894	34288510	17277319404	18274696279	352034104	18626730383	0.927555	16476.936	17763.834
size2.rep1	2	1	186265007	73634	186338641	196811684	3641732	200453416	0.929586	177.706	191.167
size2.rep2	2	2	76001777	73634	76075411	82233247	1611084	83844331	0.907341	72.551	79.960
size2.rep3	2	3	143883752	73634	143957386	155274939	3075276	158350215	0.909108	137.288	151.015
size32.rep1	32	1	2058535036	2219332	2060754368	2204148915	43172332	2247321247	0.916983	1965.289	2143.213
size32.rep2	32	2	2168052928	2218892	2170271820	2312589598	44901220	2357490818	0.920585	2069.732	2248.278
size32.rep3	32	3	2369941180	2219332	2372160512	2536872033	49199168	2586071201	0.917284	2262.269	2466.270
size4.rep1	4	1	254783633	146960	254930593	273953280	5214440	279167720	0.913181	243.121	266.235
size4.rep2	4	2	204701218	146960	204848178	216959250	4098748	221057998	0.926672	195.358	210.817
size4.rep3	4	3	314378021	147180	314525201	337042787	6541528	343584315	0.915424	299.955	327.668
size512.rep1	512	1	35955109328	167823589	36122932917	37579377172	727301596	38306678768	0.942993	34449.513	36532.096
size512.rep2	512	2	36215819562	167778904	36383598466	37859853976	732266532	38592120508	0.942773	34698.103	36804.314
size512.rep3	512	3	35898738696	167644627	36066383323	37527691263	727222548	38254913811	0.942791	34395.583	36482.729
size64.rep1	64	1	4222231701	4437696	4226669397	4504122412	86553272	4590675684	0.920707	4030.866	4378.009
size64.rep2	64	2	4165750366	4437036	4170187402	4445026917	85576980	4530603897	0.920448	3977.001	4320.721
size64.rep3	64	3	4175549636	4438136	4179987772	4454140716	85294080	4539434796	0.920817	3986.347	4329.142
size8.rep1	8	1	632702772	294271	632997043	680008741	13215240	693223981	0.913121	603.673	661.110
size8.rep2	8	2	602049339	294271	602343610	653661284	13062720	666724004	0.903438	574.440	635.838
size8.rep3	8	3	541050891	294051	541344942	582084353	11569828	593654181	0.911886	516.267	566.153
