sample	step	tool	input_route	task	run	status	user_sec	system_sec	wall_sec	max_rss_kb	log
ENCFF790EEU	call_methylation	allcools	dedup_bam	call_methylation_allc_dedup	1	OK	7826.41	129.79	5142.000000	796672	benchmark_out/ENCFF790EEU/logs/call_methylation_allc_dedup.log
ENCFF790EEU	call_methylation	allcools	dedup_bam	call_methylation_ballc_from_allc_dedup	1	OK	2031.70	2.88	2047.150000	25348	benchmark_out/ENCFF790EEU/logs/call_methylation_ballc_from_allc_dedup.log
ENCFF790EEU	call_methylation	dmpp	raw_bam_internal_dedup	call_methylation_dmpp_bam	1	OK	7189.29	39.25	1469.930000	24351632	benchmark_out/ENCFF790EEU/logs/call_methylation_dmpp_bam.log
ENCFF790EEU	call_methylation	dmpp	dedup_bam	call_methylation_dmpp_dedup	1	OK	6747.26	32.67	1372.650000	21827220	benchmark_out/ENCFF790EEU/logs/call_methylation_dmpp_dedup.log
ENCFF790EEU	call_methylation	wgbstools	dedup_bam	call_methylation_wgbstools_dedup	1	OK	8054.75	1440.85	6618.000000	1726936	benchmark_out/ENCFF790EEU/logs/call_methylation_wgbstools_dedup.log
ENCFF790EEU	consistency_check	allcools	dedup_bam	consistency_promoter_ballc	1	OK	3208.39	1038.63	993.680000	60444	benchmark_out/ENCFF790EEU/logs/consistency_promoter_ballc.log
ENCFF790EEU	consistency_check	dmpp	raw_bam_internal_dedup	consistency_promoter_dmpp_bam	1	OK	51.64	0.40	53.440000	48196	benchmark_out/ENCFF790EEU/logs/consistency_promoter_dmpp_bam.log
ENCFF790EEU	consistency_check	dmpp	dedup_bam	consistency_promoter_dmpp_dedup	1	OK	51.42	0.39	68.510000	48060	benchmark_out/ENCFF790EEU/logs/consistency_promoter_dmpp_dedup.log
ENCFF790EEU	consistency_check	wgbstools	dedup_bam	consistency_promoter_wgbstools	1	OK	9.01	0.16	10.400000	200632	benchmark_out/ENCFF790EEU/logs/consistency_promoter_wgbstools.log
ENCFF790EEU	dedup_bam	sambamba	raw_bam	dedup_bam_sambamba	1	OK	9621.03	193.38	2782.000000	1740672	benchmark_out/ENCFF790EEU/logs/dedup_bam_sambamba.log
ENCFF790EEU	dedup_bam	samtools	dedup_bam	index_dedup_bam	1	OK	647.79	15.64	76.300000	32212	benchmark_out/ENCFF790EEU/logs/index_dedup_bam.log
ENCFF790EEU	prepare_genome	allcools	dedup_bam	prepare_genome_allc	1	SKIP	NA	NA	NA	NA	benchmark_out/ENCFF790EEU/logs/prepare_genome_allc.log
ENCFF790EEU	prepare_genome	allcools	dedup_bam	prepare_genome_ballc_cmeta	1	OK	957.09	29.77	3000.480000	267812	benchmark_out/ENCFF790EEU/logs/prepare_genome_ballc_cmeta.log
ENCFF790EEU	prepare_genome	dmpp	NA	prepare_genome_dmpp	1	SKIP	NA	NA	NA	NA	benchmark_out/ENCFF790EEU/logs/prepare_genome_dmpp.log
ENCFF790EEU	prepare_genome	wgbstools	dedup_bam	prepare_genome_wgbstools	1	OK	93.68	11.89	60.920000	3247632	benchmark_out/ENCFF790EEU/logs/prepare_genome_wgbstools.log
ENCFF790EEU	prepare_promoter_bed	wgbstools	dedup_bam	prepare_promoter_bed_wgbstools	1	OK	38.33	0.43	34.210000	102716	benchmark_out/ENCFF790EEU/logs/prepare_promoter_bed_wgbstools.log
ENCFF790EEU	calculate_promoter_methylation	allcools	dedup_bam	query_promoter_ballc_run1	1	OK	3157.47	1004.25	875.760000	60252	benchmark_out/ENCFF790EEU/logs/query_promoter_ballc_run1.log
ENCFF790EEU	calculate_promoter_methylation	allcools	dedup_bam	query_promoter_ballc_run2	2	OK	3131.79	970.37	770.010000	60264	benchmark_out/ENCFF790EEU/logs/query_promoter_ballc_run2.log
ENCFF790EEU	calculate_promoter_methylation	allcools	dedup_bam	query_promoter_ballc_run3	3	OK	3131.79	972.68	755.390000	60208	benchmark_out/ENCFF790EEU/logs/query_promoter_ballc_run3.log
ENCFF790EEU	calculate_promoter_methylation	dmpp	raw_bam_internal_dedup	query_promoter_dmpp_bam_run1	1	OK	51.62	0.41	54.720000	48204	benchmark_out/ENCFF790EEU/logs/query_promoter_dmpp_bam_run1.log
ENCFF790EEU	calculate_promoter_methylation	dmpp	raw_bam_internal_dedup	query_promoter_dmpp_bam_run2	2	OK	51.66	0.37	55.490000	48344	benchmark_out/ENCFF790EEU/logs/query_promoter_dmpp_bam_run2.log
ENCFF790EEU	calculate_promoter_methylation	dmpp	raw_bam_internal_dedup	query_promoter_dmpp_bam_run3	3	OK	51.75	0.32	61.660000	48428	benchmark_out/ENCFF790EEU/logs/query_promoter_dmpp_bam_run3.log
ENCFF790EEU	calculate_promoter_methylation	dmpp	dedup_bam	query_promoter_dmpp_dedup_run1	1	OK	51.83	0.33	54.570000	48376	benchmark_out/ENCFF790EEU/logs/query_promoter_dmpp_dedup_run1.log
ENCFF790EEU	calculate_promoter_methylation	dmpp	dedup_bam	query_promoter_dmpp_dedup_run2	2	OK	51.51	0.36	55.240000	48192	benchmark_out/ENCFF790EEU/logs/query_promoter_dmpp_dedup_run2.log
ENCFF790EEU	calculate_promoter_methylation	dmpp	dedup_bam	query_promoter_dmpp_dedup_run3	3	OK	51.51	0.33	52.120000	48176	benchmark_out/ENCFF790EEU/logs/query_promoter_dmpp_dedup_run3.log
ENCFF790EEU	calculate_promoter_methylation	wgbstools	dedup_bam	query_promoter_wgbstools_run1	1	OK	8.97	0.13	10.270000	200632	benchmark_out/ENCFF790EEU/logs/query_promoter_wgbstools_run1.log
ENCFF790EEU	calculate_promoter_methylation	wgbstools	dedup_bam	query_promoter_wgbstools_run2	2	OK	8.95	0.13	9.420000	200668	benchmark_out/ENCFF790EEU/logs/query_promoter_wgbstools_run2.log
ENCFF790EEU	calculate_promoter_methylation	wgbstools	dedup_bam	query_promoter_wgbstools_run3	3	OK	8.96	0.16	9.310000	200704	benchmark_out/ENCFF790EEU/logs/query_promoter_wgbstools_run3.log
